album_name,track_title,track_n,lyric,line
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,my mistake i didnt know to bе in love,15
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,you had to fight to have the uppеr hand,16
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,i had so many dreams about you and me,17
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,happy endings now i know,18
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,that im not a princess this aint a fairytale,19
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,im not the one youll sweep off her feet lead her up the stairwell,20
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,this aint hollywood this is a small town,21
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,i was a dreamer before you went and let me down,22
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,now its too late for you and your white horse,23
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,to come around,24
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,and there you are on your knees,25
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,beggin for forgiveness beggin for me,26
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,just like i always wanted,27
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,but im so sorry,28
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,cause im not your princess this aint our fairytale,29
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,im gonna find someone someday,30
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,who might actually treat me well,31
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,this is a big world that was a small town,32
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,there in my rearview mirror disappearing now,33
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,and its too late for you and your white horse,34
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,now its too late for you and your white horse,35
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,to catch me now,36
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,oh whoa whoa whoa,37
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,try and catch me now oh,38
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,its too late to catch me now,39
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,youre on the phone with your girlfriend shes upset,1
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,shes going off about something that you said,2
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,cause she doesnt get your humor like i do,3
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,im in my room its a typical tuesday night,4
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,im listening to the kind of music she doesnt like,5
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,and shell never know your story like i do,6
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,cause she wears short skirts i wear tshirts,7
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,shes cheer captain and im on the bleachers,8
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,dreaming bout the day when you wake up and find,9
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,that what youre looking for has been here the whole time,10
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,if you could see that im the onе who understands you,11
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,been here all along so why cant you see,12
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,you bеlong with me you belong with me,13
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,walking the streets with you and your wornout jeans,14
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,i cant help thinking this is how it ought to be,15
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,laughing on a park bench thinking to myself,16
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,hey isnt this easy,17
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,and youve got a smile that could light up this whole town,18
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,i havent seen it in a while since she brought you down,19
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,you say youre fine i know you better than that,20
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,hey whatcha doing with a girl like that,21
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,she wears high heels i wear sneakers,22
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,shes cheer captain and im on the bleachers,23
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,dreaming about the day when you wake up and find,24
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,that what youre looking for has been here the whole time,25
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,if you could see that im the one who understands you,26
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,been here all along so why cant you see,27
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,you belong with me,28
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,standing by and waiting at your back door,29
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,all this time how could you not know baby,30
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,you belong with me you belong with me,31
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,oh i remember you driving to my house,32
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,in the middle of the night,33
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,im the one who makes you laugh,34
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,when you know youre bout to cry,35
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,i know your favorite songs,36
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,and you tell me bout your dreams,37
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,think i know where you belong,38
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,think i know its with me,39
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,cant you see that im the one who understands you,40
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,been here all along so why cant you see,41
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,you belong with me,42
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,standing by and waiting at your back door,43
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,all this time how could you not know baby,44
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,you belong with me you belong with me,45
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,you belong with me,46
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,have you ever thought just maybe,47
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,you belong with me,48
Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,you belong with me,49
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,i see your face in my mind as i drive away,1
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,cause none of us thought it was gonna end that way,2
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,people are people and sometimes we change our minds,3
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,but its killing me to see you go after all this time,4
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,mmmm mmmmmmmm,5
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,mmmm mmmmmmmm,6
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,the music starts playing like the end of a sad movie,7
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,its the kind of ending you dont really wanna see,8
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,cause its tragedy and itll only bring you down,9
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,now i dont know what to be without you around,10
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,and we know its never simple never easy,11
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,never a clean break no one here to save me,12
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,youre the only thing i know like the back of my hand,13
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,and i cant breathe without you but i have to,14
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,breathe without you but i have to,15
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,never wanted this never wanna see you hurt,16
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,every little bump in the road i tried to swerve,17
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,but people are people and sometimes it doesnt work out,18
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,and nothin we say is gonna save us from the fallout,19
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,and we know its never simple never easy,20
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,never a clean break no one here to save me,21
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,youre the only thing i know like the back of my hand,22
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,and i cant breathe without you but i have to,23
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,breathe without you but i have to,24
